full_text,casefolding,cleanedtext,slangremoved,stopwordremoved,tokenized,stemming,stemming_str,sentiment
"Hasil Survei Indikator: 79,3% Responden Puas dengan Kinerja Presiden Prabowo","hasil survei indikator: 79,3% responden puas dengan kinerja presiden prabowo",hasil survei indikator responden puas dengan kinerja presiden prabowo,hasil survei indikator responden puas dengan kinerja presiden prabowo,hasil survei indikator responden puas kinerja presiden prabowo,"['hasil', 'survei', 'indikator', 'responden', 'puas', 'kinerja', 'presiden', 'prabowo']","['hasil', 'survei', 'indikator', 'responden', 'puas', 'kerja', 'presiden', 'prabowo']",hasil survei indikator responden puas kerja presiden prabowo,positif
Video: Antusiasme Masyarakat Indonesia di Malaysia Sambut Kedatangan Prabowo,video: antusiasme masyarakat indonesia di malaysia sambut kedatangan prabowo,video antusiasme masyarakat indonesia di malaysia sambut kedatangan prabowo,video antusiasme masyarakat indonesia di malaysia sambut kedatangan prabowo,video antusiasme masyarakat indonesia malaysia sambut kedatangan prabowo,"['video', 'antusiasme', 'masyarakat', 'indonesia', 'malaysia', 'sambut', 'kedatangan', 'prabowo']","['video', 'antusiasme', 'masyarakat', 'indonesia', 'malaysia', 'sambut', 'datang', 'prabowo']",video antusiasme masyarakat indonesia malaysia sambut datang prabowo,positif
"Survei Indikator: 79,3% Responden Puas 100 Hari Kinerja Prabowo","survei indikator: 79,3% responden puas 100 hari kinerja prabowo",survei indikator responden puas hari kinerja prabowo,survei indikator responden puas hari kinerja prabowo,survei indikator responden puas kinerja prabowo,"['survei', 'indikator', 'responden', 'puas', 'kinerja', 'prabowo']","['survei', 'indikator', 'responden', 'puas', 'kerja', 'prabowo']",survei indikator responden puas kerja prabowo,positif
"74,7% Responden Indikator Nilai Penegakan Hukum Baik di Era Prabowo","74,7% responden indikator nilai penegakan hukum baik di era prabowo",responden indikator nilai penegakan hukum baik di era prabowo,responden indikator nilai penegakan hukum baik di era prabowo,responden indikator nilai penegakan hukum era prabowo,"['responden', 'indikator', 'nilai', 'penegakan', 'hukum', 'era', 'prabowo']","['responden', 'indikator', 'nilai', 'tega', 'hukum', 'era', 'prabowo']",responden indikator nilai tega hukum era prabowo,negatif
Prabowo Mampir ke Toko Buku Langganan di Sela Kunker ke India,prabowo mampir ke toko buku langganan di sela kunker ke india,prabowo mampir ke toko buku langganan di sela kunker ke india,prabowo mampir ke toko buku langganan di sela kunker ke india,prabowo mampir toko buku langganan kunker india,"['prabowo', 'mampir', 'toko', 'buku', 'langganan', 'kunker', 'india']","['prabowo', 'mampir', 'toko', 'buku', 'langgan', 'kunker', 'india']",prabowo mampir toko buku langgan kunker india,negatif
Masyarakat Indonesia di Malaysia Antusias Sambut Kedatangan Prabowo,masyarakat indonesia di malaysia antusias sambut kedatangan prabowo,masyarakat indonesia di malaysia antusias sambut kedatangan prabowo,masyarakat indonesia di malaysia antusias sambut kedatangan prabowo,masyarakat indonesia malaysia antusias sambut kedatangan prabowo,"['masyarakat', 'indonesia', 'malaysia', 'antusias', 'sambut', 'kedatangan', 'prabowo']","['masyarakat', 'indonesia', 'malaysia', 'antusias', 'sambut', 'datang', 'prabowo']",masyarakat indonesia malaysia antusias sambut datang prabowo,negatif
Sisi Lain dari Lawatan Kenegaraan Presiden Prabowo ke India,sisi lain dari lawatan kenegaraan presiden prabowo ke india,sisi lain dari lawatan kenegaraan presiden prabowo ke india,sisi lain dari lawatan kenegaraan presiden prabowo ke india,sisi lawatan kenegaraan presiden prabowo india,"['sisi', 'lawatan', 'kenegaraan', 'presiden', 'prabowo', 'india']","['sisi', 'lawat', 'negara', 'presiden', 'prabowo', 'india']",sisi lawat negara presiden prabowo india,positif
"Dari India, Prabowo Bertolak ke Malaysia untuk Terima Penganugerahan","dari india, prabowo bertolak ke malaysia untuk terima penganugerahan",dari india prabowo bertolak ke malaysia untuk terima penganugerahan,dari india prabowo bertolak ke malaysia untuk terima penganugerahan,india prabowo bertolak malaysia terima penganugerahan,"['india', 'prabowo', 'bertolak', 'malaysia', 'terima', 'penganugerahan']","['india', 'prabowo', 'tolak', 'malaysia', 'terima', 'anugerah']",india prabowo tolak malaysia terima anugerah,negatif
Didit Hediprasetyo Makan Bareng Titiek Soeharto dan Presiden Prabowo,didit hediprasetyo makan bareng titiek soeharto dan presiden prabowo,didit hediprasetyo makan bareng titiek soeharto dan presiden prabowo,didit hediprasetyo makan bareng titiek soeharto dan presiden prabowo,didit hediprasetyo makan bareng titiek soeharto presiden prabowo,"['didit', 'hediprasetyo', 'makan', 'bareng', 'titiek', 'soeharto', 'presiden', 'prabowo']","['didit', 'hediprasetyo', 'makan', 'bareng', 'titiek', 'soeharto', 'presiden', 'prabowo']",didit hediprasetyo makan bareng titiek soeharto presiden prabowo,negatif
"Kunjungi Gedung Parlemen India, Prabowo Keliling Ruang Sidang DPR-MPR","kunjungi gedung parlemen india, prabowo keliling ruang sidang dpr-mpr",kunjungi gedung parlemen india prabowo keliling ruang sidang dpr mpr,kunjungi gedung parlemen india prabowo keliling ruang sidang dpr mpr,kunjungi gedung parlemen india prabowo keliling ruang sidang dpr mpr,"['kunjungi', 'gedung', 'parlemen', 'india', 'prabowo', 'keliling', 'ruang', 'sidang', 'dpr', 'mpr']","['kunjung', 'gedung', 'parlemen', 'india', 'prabowo', 'keliling', 'ruang', 'sidang', 'dpr', 'mpr']",kunjung gedung parlemen india prabowo keliling ruang sidang dpr mpr,negatif
Prabowo Sebut Belajar Strategi Pengentasan Kemiskinan dari PM India,prabowo sebut belajar strategi pengentasan kemiskinan dari pm india,prabowo sebut belajar strategi pengentasan kemiskinan dari pm india,prabowo sebut belajar strategi pengentasan kemiskinan dari pm india,prabowo belajar strategi pengentasan kemiskinan pm india,"['prabowo', 'belajar', 'strategi', 'pengentasan', 'kemiskinan', 'pm', 'india']","['prabowo', 'ajar', 'strategi', 'entas', 'miskin', 'pm', 'india']",prabowo ajar strategi entas miskin pm india,negatif
Makna Mendalam Anggrek dari Prabowo untuk Megawati,makna mendalam anggrek dari prabowo untuk megawati,makna mendalam anggrek dari prabowo untuk megawati,makna mendalam anggrek dari prabowo untuk megawati,makna mendalam anggrek prabowo megawati,"['makna', 'mendalam', 'anggrek', 'prabowo', 'megawati']","['makna', 'dalam', 'anggrek', 'prabowo', 'megawati']",makna dalam anggrek prabowo megawati,positif
Prabowo Terima Kasih ke Pemerintah India: Kunjungan Singkat tapi Produktif,prabowo terima kasih ke pemerintah india: kunjungan singkat tapi produktif,prabowo terima kasih ke pemerintah india kunjungan singkat tapi produktif,prabowo terima kasih ke pemerintah india kunjungan singkat tapi produktif,prabowo terima kasih pemerintah india kunjungan singkat produktif,"['prabowo', 'terima', 'kasih', 'pemerintah', 'india', 'kunjungan', 'singkat', 'produktif']","['prabowo', 'terima', 'kasih', 'perintah', 'india', 'kunjung', 'singkat', 'produktif']",prabowo terima kasih perintah india kunjung singkat produktif,negatif
"Wacana Batas Usia Jemaah Haji, Menag Sebut Prabowo Akan Temui Pemerintah Saudi","wacana batas usia jemaah haji, menag sebut prabowo akan temui pemerintah saudi",wacana batas usia jemaah haji menag sebut prabowo akan temui pemerintah saudi,wacana batas usia jemaah haji menag sebut prabowo akan temui pemerintah saudi,wacana batas usia jemaah haji menag prabowo temui pemerintah saudi,"['wacana', 'batas', 'usia', 'jemaah', 'haji', 'menag', 'prabowo', 'temui', 'pemerintah', 'saudi']","['wacana', 'batas', 'usia', 'jemaah', 'haji', 'menag', 'prabowo', 'temu', 'perintah', 'saudi']",wacana batas usia jemaah haji menag prabowo temu perintah saudi,negatif
"Video Prabowo Kirim Anggrek di Ultah Megawati, Puan: Terima Kasih","video prabowo kirim anggrek di ultah megawati, puan: terima kasih",video prabowo kirim anggrek di ultah megawati puan terima kasih,video prabowo kirim anggrek di ultah megawati puan terima kasih,video prabowo kirim anggrek ultah megawati puan terima kasih,"['video', 'prabowo', 'kirim', 'anggrek', 'ultah', 'megawati', 'puan', 'terima', 'kasih']","['video', 'prabowo', 'kirim', 'anggrek', 'ultah', 'megawati', 'puan', 'terima', 'kasih']",video prabowo kirim anggrek ultah megawati puan terima kasih,positif
"Video: PDIP Soal Kado Prabowo-Megawati: Wajar, Hubungan Mereka Cukup Lama","video: pdip soal kado prabowo-megawati: wajar, hubungan mereka cukup lama",video pdip soal kado prabowo megawati wajar hubungan mereka cukup lama,video pdip soal kado prabowo megawati wajar hubungan mereka cukup lama,video pdip kado prabowo megawati wajar hubungan,"['video', 'pdip', 'kado', 'prabowo', 'megawati', 'wajar', 'hubungan']","['video', 'pdip', 'kado', 'prabowo', 'megawati', 'wajar', 'hubung']",video pdip kado prabowo megawati wajar hubung,negatif
Video: Rudal Jumbo yang Dipamerkan India ke Prabowo,video: rudal jumbo yang dipamerkan india ke prabowo,video rudal jumbo yang dipamerkan india ke prabowo,video rudal jumbo yang dipamerkan india ke prabowo,video rudal jumbo dipamerkan india prabowo,"['video', 'rudal', 'jumbo', 'dipamerkan', 'india', 'prabowo']","['video', 'rudal', 'jumbo', 'pamer', 'india', 'prabowo']",video rudal jumbo pamer india prabowo,negatif
MBG Jadi Program Terbaik 100 Hari Prabowo-Gibran Versi LSI Denny JA,mbg jadi program terbaik 100 hari prabowo-gibran versi lsi denny ja,mbg jadi program terbaik hari prabowo gibran versi lsi denny ja,mbak jadi program terbaik hari prabowo gibran versi lsi denny saja,mbak program terbaik prabowo gibran versi lsi denny,"['mbak', 'program', 'terbaik', 'prabowo', 'gibran', 'versi', 'lsi', 'denny']","['mbak', 'program', 'baik', 'prabowo', 'gibran', 'versi', 'lsi', 'denny']",mbak program baik prabowo gibran versi lsi denny,negatif
"Prabowo ke India, Indonesia Sepakati Kerjasama Kebut Transformasi Digital","prabowo ke india, indonesia sepakati kerjasama kebut transformasi digital",prabowo ke india indonesia sepakati kerjasama kebut transformasi digital,prabowo ke india indonesia sepakati kerjasama kebut transformasi digital,prabowo india indonesia sepakati kerjasama kebut transformasi digital,"['prabowo', 'india', 'indonesia', 'sepakati', 'kerjasama', 'kebut', 'transformasi', 'digital']","['prabowo', 'india', 'indonesia', 'sepakat', 'kerjasama', 'kebut', 'transformasi', 'digital']",prabowo india indonesia sepakat kerjasama kebut transformasi digital,positif
Video Puan Dukung Prabowo Efisiensi Anggaran: Untuk Kesejahteraan Rakyat,video puan dukung prabowo efisiensi anggaran: untuk kesejahteraan rakyat,video puan dukung prabowo efisiensi anggaran untuk kesejahteraan rakyat,video puan dukung prabowo efisiensi anggaran untuk kesejahteraan rakyat,video puan dukung prabowo efisiensi anggaran kesejahteraan rakyat,"['video', 'puan', 'dukung', 'prabowo', 'efisiensi', 'anggaran', 'kesejahteraan', 'rakyat']","['video', 'puan', 'dukung', 'prabowo', 'efisiensi', 'anggar', 'sejahtera', 'rakyat']",video puan dukung prabowo efisiensi anggar sejahtera rakyat,positif
Kiriman Bunga Anggrek hingga Vitamin dari Prabowo untuk Megawati,kiriman bunga anggrek hingga vitamin dari prabowo untuk megawati,kiriman bunga anggrek hingga vitamin dari prabowo untuk megawati,kiriman bunga anggrek hingga vitamin dari prabowo untuk megawati,kiriman bunga anggrek vitamin prabowo megawati,"['kiriman', 'bunga', 'anggrek', 'vitamin', 'prabowo', 'megawati']","['kirim', 'bunga', 'anggrek', 'vitamin', 'prabowo', 'megawati']",kirim bunga anggrek vitamin prabowo megawati,negatif
Prabowo Akui Belajar Banyak dari PM Modi soal Pengentasan Kemiskinan,prabowo akui belajar banyak dari pm modi soal pengentasan kemiskinan,prabowo akui belajar banyak dari pm modi soal pengentasan kemiskinan,prabowo akui belajar banyak dari pm modi soal pengentasan kemiskinan,prabowo akui belajar pm modi pengentasan kemiskinan,"['prabowo', 'akui', 'belajar', 'pm', 'modi', 'pengentasan', 'kemiskinan']","['prabowo', 'aku', 'ajar', 'pm', 'modi', 'entas', 'miskin']",prabowo aku ajar pm modi entas miskin,negatif
Prabowo Undang Pengusaha India Ikut Bangun Infrastruktur RI,prabowo undang pengusaha india ikut bangun infrastruktur ri,prabowo undang pengusaha india ikut bangun infrastruktur ri,prabowo undang pengusaha india ikut bangun infrastruktur ri,prabowo undang pengusaha india bangun infrastruktur ri,"['prabowo', 'undang', 'pengusaha', 'india', 'bangun', 'infrastruktur', 'ri']","['prabowo', 'undang', 'usaha', 'india', 'bangun', 'infrastruktur', 'ri']",prabowo undang usaha india bangun infrastruktur ri,negatif
"Survei Sebut PAN Paling Loyal, Eddy: Komitmen Sukseskan Program Prabowo","survei sebut pan paling loyal, eddy: komitmen sukseskan program prabowo",survei sebut pan paling loyal eddy komitmen sukseskan program prabowo,survei sebut kapan paling loyal eddy komitmen sukseskan program prabowo,survei loyal eddy komitmen sukseskan program prabowo,"['survei', 'loyal', 'eddy', 'komitmen', 'sukseskan', 'program', 'prabowo']","['survei', 'loyal', 'eddy', 'komitmen', 'sukses', 'program', 'prabowo']",survei loyal eddy komitmen sukses program prabowo,positif
Video: Prabowo Akui Belajar Strategi Pengentasan Kemiskinan dari PM India,video: prabowo akui belajar strategi pengentasan kemiskinan dari pm india,video prabowo akui belajar strategi pengentasan kemiskinan dari pm india,video prabowo akui belajar strategi pengentasan kemiskinan dari pm india,video prabowo akui belajar strategi pengentasan kemiskinan pm india,"['video', 'prabowo', 'akui', 'belajar', 'strategi', 'pengentasan', 'kemiskinan', 'pm', 'india']","['video', 'prabowo', 'aku', 'ajar', 'strategi', 'entas', 'miskin', 'pm', 'india']",video prabowo aku ajar strategi entas miskin pm india,negatif
